date,close,Name
2018-01-08,110.16,KLAC
2018-01-09,109.2,KLAC
2018-01-10,106.28,KLAC
2018-01-11,106.24,KLAC
2018-01-12,107.29,KLAC
2018-01-16,107.66,KLAC
2018-01-17,113.49,KLAC
2018-01-18,114.65,KLAC
2018-01-19,115.02,KLAC
2018-01-22,114.59,KLAC
2018-01-23,116.01,KLAC
2018-01-24,NA,KLAC
2018-01-25,113.09,KLAC
2018-01-26,113.44,KLAC
2018-01-29,112.13,KLAC
2018-01-30,109.41,KLAC
2018-01-31,109.8,KLAC
2018-02-01,111.15,KLAC
2018-02-02,106.52,KLAC
2018-02-05,101.2,KLAC
2018-02-06,105.23,KLAC
2018-02-07,102.66,KLAC
2018-01-02,119.07,KMB
2018-01-03,117.08,KMB
2018-01-04,118.43,KMB
2018-01-05,118.17,KMB
2018-01-08,NA,KMB
2018-01-09,116.8,KMB
2018-01-10,114.96,KMB
2018-01-11,112.7,KMB
2018-01-12,112.98,KMB
2018-01-16,114.26,KMB
2018-01-17,116.66,KMB
2018-01-18,NA,KMB
2018-01-19,115.49,KMB
2018-01-22,NA,KMB
2018-01-23,117.84,KMB
2018-01-24,119.71,KMB
2018-01-25,123.44,KMB
2018-01-26,122.23,KMB
2018-01-29,119.71,KMB
2018-01-30,118.5,KMB
2018-01-31,117.0,KMB
2018-02-01,117.9,KMB
2018-02-02,116.21,KMB
2018-02-05,111.88,KMB
2018-02-06,114.14,KMB
2018-02-07,NA,KMB
2018-01-02,18.8,KMI
2018-01-03,18.96,KMI
2018-01-04,19.01,KMI
2018-01-05,18.95,KMI
2018-01-08,18.86,KMI
2018-01-09,18.94,KMI
2018-01-10,18.88,KMI
2018-01-11,19.2,KMI
2018-01-12,19.52,KMI
2018-01-16,19.39,KMI
2018-01-17,19.57,KMI
2018-01-18,19.01,KMI
2018-01-19,NA,KMI
2018-01-22,19.63,KMI
2018-01-23,19.45,KMI
2018-01-24,19.14,KMI
2018-01-25,18.82,KMI
2018-01-26,18.77,KMI
2018-01-29,18.71,KMI
2018-01-30,18.23,KMI
2018-01-31,NA,KMI
2018-02-01,18.06,KMI
2018-02-02,17.5,KMI
2018-02-05,16.81,KMI
2018-02-06,17.33,KMI
2018-02-07,17.29,KMI
2018-01-02,64.76,KMX
2018-01-03,66.94,KMX
2018-01-04,68.25,KMX
2018-01-05,71.04,KMX
2018-01-08,70.05,KMX
2018-01-09,NA,KMX
2018-01-10,70.3,KMX
2018-01-11,NA,KMX
2018-01-12,72.33,KMX
2018-01-16,71.33,KMX
2018-01-17,69.84,KMX
2018-01-18,NA,KMX
2018-01-19,70.58,KMX
2018-01-22,71.49,KMX
2018-01-23,70.54,KMX
2018-01-24,70.95,KMX
2018-01-25,71.54,KMX
2018-01-26,72.42,KMX
2018-01-29,72.36,KMX
2018-01-30,NA,KMX
2018-01-31,NA,KMX
2018-02-01,70.81,KMX
2018-02-02,68.75,KMX
2018-02-05,64.82,KMX
2018-02-06,65.32,KMX
2018-02-07,65.4,KMX
2018-01-02,NA,KORS
2018-01-03,63.8,KORS
2018-01-04,64.08,KORS
2018-01-05,63.92,KORS
2018-01-08,64.8,KORS
2018-01-09,63.82,KORS
2018-01-10,63.92,KORS
2018-01-11,64.44,KORS
2018-01-12,65.24,KORS
2018-01-16,63.84,KORS
2018-01-17,64.63,KORS
2018-01-18,65.01,KORS
2018-01-19,65.86,KORS
2018-01-22,65.7,KORS
2018-01-23,66.96,KORS
2018-01-24,67.27,KORS
2018-01-25,67.04,KORS
2018-01-26,68.14,KORS
2018-01-29,67.2,KORS
2018-01-30,66.92,KORS
2018-01-31,66.0,KORS
2018-02-01,65.93,KORS
2018-02-02,65.27,KORS
2018-02-05,64.05,KORS
2018-02-06,65.44,KORS
2018-02-07,66.11,KORS
2018-01-02,45.54,KO
2018-01-03,45.44,KO
2018-01-04,46.08,KO
2018-01-05,46.07,KO
2018-01-08,NA,KO
2018-01-09,46.23,KO
2018-01-10,46.07,KO
2018-01-11,NA,KO
2018-01-12,46.15,KO
2018-01-16,46.53,KO
2018-01-17,NA,KO
2018-01-18,46.88,KO
2018-01-19,47.16,KO
2018-01-22,47.38,KO
2018-01-23,47.45,KO
2018-01-24,47.83,KO
2018-01-25,47.84,KO
2018-01-26,NA,KO
2018-01-29,47.7,KO
2018-01-30,47.41,KO
2018-01-31,47.59,KO
2018-02-01,47.45,KO
2018-02-02,46.73,KO
2018-02-05,44.89,KO
2018-02-06,44.67,KO
2018-02-07,44.56,KO
2018-01-02,NA,KR
2018-01-03,27.85,KR
2018-01-04,26.98,KR
2018-01-05,27.32,KR
2018-01-08,27.97,KR
2018-01-09,NA,KR
2018-01-10,27.99,KR
2018-01-11,NA,KR
2018-01-12,NA,KR
2018-01-16,28.25,KR
2018-01-17,28.67,KR
2018-01-18,29.06,KR
2018-01-19,29.72,KR
2018-01-22,29.63,KR
2018-01-23,29.31,KR
2018-01-24,29.48,KR
2018-01-25,30.26,KR
2018-01-26,30.88,KR
2018-01-29,31.34,KR
2018-01-30,30.83,KR
2018-01-31,30.36,KR
2018-02-01,NA,KR
2018-02-02,29.34,KR
2018-02-05,28.47,KR
